caminho,balde,veredito
.bigtech-porte,E-no-header-by-design,
.gitattributes,E-no-header-by-design,
.githooks/pre-commit,A-rotated,
.githooks/pre-push,A-rotated,
.github/workflows/ci.yml,A-rotated,
.github/workflows/core-ci.yml,A-rotated,
.github/workflows/heavy.yml,A-rotated,
.github/workflows/nightly.yml,A-rotated,
.github/workflows/windows-atoms.yml,A-rotated,
.gitignore,E-no-header-by-design,
.gitleaksignore,E-no-header-by-design,
AGENTS.md,E-no-header-by-design,".md, no license mention"
AUDITORIAS.md,D-prose-ok,tools/license_whitelist.txt
AUDIT_FIND.md,D-prose-ok,tools/license_whitelist.txt
CHANGELOG.md,D-prose-ok,tools/license_whitelist.txt
CLAUDE.md,D-prose-ok,tools/license_whitelist.txt
CONTRIBUTING.md,D-prose-ok,tools/license_whitelist.txt
LICENSE,E-no-header-by-design,
Makefile,A-rotated,
NOTICE,E-no-header-by-design,
README.md,D-prose-ok,tools/license_whitelist.txt
SECURITY.md,E-no-header-by-design,".md, no license mention"
TESTES.md,E-no-header-by-design,".md, no license mention"
TODO.md,C-historical,
consumer-example-embed/CMakeLists.txt,A-rotated,
consumer-example-embed/contract_scene.rcss,A-rotated,
consumer-example-embed/contract_scene.rml,A-rotated,
consumer-example-embed/main.cpp,A-rotated,
consumer-example/CMakeLists.txt,A-rotated,
consumer-example/main.cpp,A-rotated,
consumer-example/showcase.rml,E-no-header-by-design,"pre-existing, never carried SPDX"
docs/.gitkeep,E-no-header-by-design,
docs/GUIA_INICIANTE.md,E-no-header-by-design,".md, no license mention"
docs/RELEASE_CHECKLIST.md,E-no-header-by-design,".md, no license mention"
docs/adr/0001-syscall-layer-style.md,E-no-header-by-design,".md, no license mention"
docs/adr/0002-error-contract.md,E-no-header-by-design,".md, no license mention"
docs/adr/0003-internal-abi.md,E-no-header-by-design,".md, no license mention"
docs/adr/0004-allocator-strategy.md,E-no-header-by-design,".md, no license mention"
docs/adr/0005-elf-layout.md,E-no-header-by-design,".md, no license mention"
docs/adr/0006-layered-hybrid-architecture.md,E-no-header-by-design,".md, no license mention"
docs/adr/0007-license-mpl-2.0.md,C-historical,
docs/adr/0008-embed-guest-mode.md,E-no-header-by-design,".md, no license mention"
docs/adr/0009-internalization-boundary.md,E-no-header-by-design,".md, no license mention"
docs/adr/0010-image-tint-luminance-key.md,E-no-header-by-design,".md, no license mention"
docs/adr/0011-soft-font-flip.md,E-no-header-by-design,".md, no license mention"
docs/adr/0012-backdrop-capture.md,E-no-header-by-design,".md, no license mention"
docs/adr/0013-gl-symbol-boundary.md,E-no-header-by-design,".md, no license mention"
docs/adr/0015-framework-2d-atomized-architecture.md,E-no-header-by-design,".md, no license mention"
docs/adr/0016-gamepad-atom.md,E-no-header-by-design,".md, no license mention"
docs/adr/0017-draw2d-module.md,E-no-header-by-design,".md, no license mention"
docs/adr/0018-draw2d-text.md,E-no-header-by-design,".md, no license mention"
docs/adr/0019-license-rotation-apache-2.0.md,C-historical,
docs/adr/README.md,D-prose-ok,tools/license_whitelist.txt
docs/audio.md,E-no-header-by-design,".md, no license mention"
docs/auditoria/AUD-ABI.md,E-no-header-by-design,".md, no license mention"
docs/auditoria/AUD-C0-PLAN.md,C-historical,
docs/auditoria/AUD-CI-RUNNER.md,E-no-header-by-design,".md, no license mention"
